Freq.	V(out)
2.34422881531992e+000	(-8.96282314943148e+001dB,4.31674668668151e+000°)
2.39883291901949e+000	(-8.92266632443576e+001dB,4.41666740991099e+000°)
2.45470891568503e+000	(-8.88250217057568e+001dB,4.51887088690899e+000°)
2.51188643150958e+000	(-8.84233034838030e+001dB,4.62340712966487e+000°)
2.57039578276886e+000	(-8.80215050295879e+001dB,4.73032709353871e+000°)
2.63026799189538e+000	(-8.76196226329929e+001dB,4.83968268384999e+000°)
2.69153480392691e+000	(-8.72176524158584e+001dB,4.95152676172456e+000°)
2.75422870333816e+000	(-8.68155903249118e+001dB,5.06591314889882e+000°)
2.81838293126445e+000	(-8.64134321235336e+001dB,5.18289663143714e+000°)
2.88403150312660e+000	(-8.60111733846261e+001dB,5.30253296237367e+000°)
2.95120922666638e+000	(-8.56088094819160e+001dB,5.42487886306272e+000°)
3.01995172040201e+000	(-8.52063355820151e+001dB,5.54999202311005e+000°)
3.09029543251359e+000	(-8.48037466349891e+001dB,5.67793109891217e+000°)
3.16227766016837e+000	(-8.44010373659200e+001dB,5.80875571046790e+000°)
3.23593656929628e+000	(-8.39982022649453e+001dB,5.94252643651819e+000°)
3.31131121482591e+000	(-8.35952355778128e+001dB,6.07930480769831e+000°)
3.38844156139202e+000	(-8.31921312956916e+001dB,6.21915329781377e+000°)
3.46736850452531e+000	(-8.27888831445398e+001dB,6.36213531263643e+000°)
3.54813389233575e+000	(-8.23854845746541e+001dB,6.50831517663102e+000°)
3.63078054770101e+000	(-8.19819287492082e+001dB,6.65775811685547e+000°)
3.71535229097172e+000	(-8.15782085327977e+001dB,6.81053024427060e+000°)
3.80189396320560e+000	(-8.11743164796009e+001dB,6.96669853208568e+000°)
3.89045144994280e+000	(-8.07702448211533e+001dB,7.12633079083866e+000°)
3.98107170553496e+000	(-8.03659854536186e+001dB,7.28949564022851e+000°)
4.07380277804112e+000	(-7.99615299250266e+001dB,7.45626247725531e+000°)
4.16869383470335e+000	(-7.95568694217192e+001dB,7.62670144057914e+000°)
4.26579518801592e+000	(-7.91519947546919e+001dB,7.80088337062761e+000°)
4.36515832240165e+000	(-7.87468963456929e+001dB,7.97887976545969e+000°)
4.46683592150962e+000	(-7.83415642129130e+001dB,8.16076273195727e+000°)
4.57088189614874e+000	(-7.79359879559164e+001dB,8.34660493196905e+000°)
4.67735141287197e+000	(-7.75301567409340e+001dB,8.53647952331807e+000°)
4.78630092322637e+000	(-7.71240592854921e+001dB,8.73046009522882e+000°)
4.89778819368445e+000	(-7.67176838428663e+001dB,8.92862059778853e+000°)
5.01187233627271e+000	(-7.63110181860379e+001dB,9.13103526532838e+000°)
5.12861383991364e+000	(-7.59040495917841e+001dB,9.33777853308116e+000°)
5.24807460249771e+000	(-7.54967648242620e+001dB,9.54892494712597e+000°)
5.37031796370252e+000	(-7.50891501186574e+001dB,9.76454906683565e+000°)
5.49540873857623e+000	(-7.46811911646457e+001dB,9.98472535987663e+000°)
5.62341325190348e+000	(-7.42728730895515e+001dB,1.02095280891027e+001°)
5.75439937337156e+000	(-7.38641804417037e+001dB,1.04390311910344e+001°)
5.88843655355588e+000	(-7.34550971739222e+001dB,1.06733081456183e+001°)
6.02559586074356e+000	(-7.30456066265115e+001dB,1.09124318368302e+001°)
6.16595001861481e+000	(-7.26356915112319e+001dB,1.11564744037487e+001°)
6.30957344480192e+000	(-7.22253338947328e+001dB,1.14055070817037e+001°)
6.45654229034654e+000	(-7.18145151827563e+001dB,1.16596000331546e+001°)
6.60693448007594e+000	(-7.14032161043921e+001dB,1.19188221680225e+001°)
6.76082975391980e+000	(-7.09914166970392e+001dB,1.21832409528601e+001°)
6.91830970918935e+000	(-7.05790962921462e+001dB,1.24529222091484e+001°)
7.07945784384136e+000	(-7.01662335007878e+001dB,1.27279298994474e+001°)
7.24435960074988e+000	(-6.97528062011400e+001dB,1.30083259022610e+001°)
7.41310241300916e+000	(-6.93387915260542e+001dB,1.32941697744290e+001°)
7.58577575029182e+000	(-6.89241658521813e+001dB,1.35855185014934e+001°)
7.76247116628690e+000	(-6.85089047897945e+001dB,1.38824262354221e+001°)
7.94328234724279e+000	(-6.80929831748851e+001dB,1.41849440202206e+001°)
8.12830516164097e+000	(-6.76763750617258e+001dB,1.44931195044483e+001°)
8.31763771102669e+000	(-6.72590537175371e+001dB,1.48069966416461e+001°)
8.51138038202374e+000	(-6.68409916194631e+001dB,1.51266153782713e+001°)
8.70963589956078e+000	(-6.64221604528059e+001dB,1.54520113294230e+001°)
8.91250938133743e+000	(-6.60025311119970e+001dB,1.57832154424325e+001°)
9.12010839355907e+000	(-6.55820737040638e+001dB,1.61202536492969e+001°)
9.33254300796988e+000	(-6.51607575541071e+001dB,1.64631465078766e+001°)
